City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,vikhorevka,56.1201,101.1636,8.73,53,100,1.52,RU,1697381537
256,santa margherita ligure,44.3346,9.212,24.91,72,69,2.08,IT,1697381538
257,mwene-ditu,-7.0,23.45,25.45,59,88,2.29,CD,1697381538
258,bonito,-21.1211,-56.4819,38.28,28,3,3.34,BR,1697381538
259,saint-joseph,-21.3667,55.6167,24.21,82,27,1.34,RE,1697381538
260,dampit,-8.2116,112.7493,21.61,88,8,2.5,ID,1697381538
261,tarp,54.6667,9.4,8.88,73,88,7.83,DE,1697381538
262,namibe,-15.1961,12.1522,21.52,65,15,6.1,AO,1697381302
263,kalaleh,37.3807,55.4916,20.2,60,0,2.06,IR,1697381539
264,bir el ater,34.7449,8.0602,25.02,15,0,4.65,DZ,1697381539
265,la'ie,21.6477,-157.9253,24.14,86,96,0.45,US,1697381539
266,arraial do cabo,-22.9661,-42.0278,24.98,73,75,10.29,BR,1697381423
267,la junta,37.985,-103.5438,1.16,75,0,2.06,US,1697381539
268,ampara,7.2833,81.6667,25.73,87,86,1.63,LK,1697381540
269,kerouane,9.2667,-9.0167,31.57,52,63,1.04,GN,1697381540
270,fort leonard wood,37.7057,-92.1572,10.41,77,100,3.6,US,1697381540
271,taulaga,-11.0553,-171.0883,27.85,71,82,9.46,AS,1697381540
272,lensk,60.7253,114.9278,2.62,72,100,2.24,RU,1697381540
273,ixtapa,20.7,-105.2,27.9,89,75,1.54,MX,1697381540
274,sodankyla,67.4167,26.6,0.68,99,100,4.55,FI,1697381540
275,nuuk,64.1835,-51.7216,0.34,64,40,4.63,GL,1697381541
276,monterey,36.2505,-121.2516,14.4,59,6,0.65,US,1697381445
277,laurel,39.0993,-76.8483,14.77,75,0,6.17,US,1697381437
278,sabha,27.0377,14.4283,29.71,15,0,2.46,LY,1697381541
279,norfolk,42.1668,-71.2495,13.27,72,0,4.12,US,1697381541
280,antsiranana,-12.2787,49.2917,27.42,74,20,3.09,MG,1697381541
281,buka,40.8108,69.1986,13.05,31,67,1.89,UZ,1697381541
282,georgiyevka,43.0369,74.7114,7.02,81,56,1.0,KZ,1697381542
283,sumenep,-7.0167,113.8667,27.93,75,36,5.89,ID,1697381542
284,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,5.14,EC,1697381542
285,el bolson,-41.9667,-71.5167,9.68,60,44,2.54,AR,1697381542
286,lompoc,34.6391,-120.4579,22.66,100,0,2.06,US,1697381542
287,khandyga,62.6667,135.6,-17.76,99,69,1.43,RU,1697381542
288,urzhar,47.093,81.6294,5.85,80,90,1.86,KZ,1697381543
289,moyale,3.5167,39.0584,19.89,94,100,7.5,KE,1697381543
290,muroto-misakicho,33.2833,134.15,20.54,61,0,4.49,JP,1697381543
291,katsuura,35.1333,140.3,18.26,79,0,2.12,JP,1697381543
292,nemuro,43.3236,145.575,13.95,72,100,2.06,JP,1697381543
293,tucurui,-3.7661,-49.6725,37.42,33,49,2.56,BR,1697381543
294,phalaborwa,-23.943,31.1411,23.6,31,99,3.84,ZA,1697381544
295,tokar,18.4254,37.729,31.11,64,56,6.39,SD,1697381544
296,usoke,-5.1667,32.35,32.55,24,82,3.41,TZ,1697381544
297,berdigestyakh,62.0989,126.6992,-9.28,91,11,0.89,RU,1697381544
298,guarapari,-20.6667,-40.4975,22.72,94,100,2.48,BR,1697381437
